Sec,Ah,V,A,S,D
0.2,0.0,48.32,0.0,0.0,0.0
0.4,0.0,48.32,0.0,0.0,0.0
0.6,0.0,48.32,0.0,0.0,0.0
0.8,0.0,48.32,0.0,0.0,0.0
1.0,0.0,48.32,0.0,0.0,0.0
1.2,0.0,48.32,0.0,0.0,0.0
1.4,0.0,48.32,0.0,0.0,0.0
1.6,0.0,48.32,0.0,0.0,0.0
1.8,0.0,48.32,0.0,0.0,0.0
2.0,0.0,48.32,0.0,0.0,0.0
2.2,0.0,48.32,0.0,0.0,0.0
2.4,0.0,48.32,0.0,0.0,0.0
2.6,0.0,48.32,0.0,0.0,0.0
2.8,0.0,48.32,0.0,0.0,0.0
3.0,0.0,48.32,0.0,0.0,0.0
3.2,0.0,48.32,0.0,0.0,0.0
3.4,0.0,48.32,0.0,0.0,0.0
3.6,0.0,48.32,0.0,0.0,0.0
3.8,0.0,48.32,0.0,0.0,0.0
4.0,0.0,48.32,0.0,0.0,0.0
4.2,0.0,48.32,0.0,0.0,0.0
4.4,0.0,48.32,0.0,0.0,0.0
4.6,0.0,48.32,0.0,0.0,0.0
4.8,0.0,48.32,0.0,0.0,0.0
5.0,0.0,48.32,0.0,0.0,0.0
5.2,0.0,48.32,0.0,0.0,0.0
5.4,0.0,48.32,0.0,0.0,0.0
5.6,0.0,48.32,0.0,0.0,0.0
5.8,0.0,48.32,0.0,0.0,0.0
6.0,0.0,48.32,0.0,0.0,0.0
6.2,0.0,48.32,0.0,0.0,0.0
6.4,0.0,48.32,0.0,0.0,0.0
6.6,0.0,48.32,0.0,0.0,0.0
6.8,0.0,48.32,0.0,0.0,0.0
7.0,0.0,48.32,0.0,0.0,0.0
7.2,0.0,48.32,0.0,0.0,0.0
7.4,0.0,48.32,0.0,0.0,0.0
7.6,0.0,48.32,0.0,0.0,0.0
7.8,0.0,48.32,0.0,0.0,0.0
8.0,0.0,48.32,0.0,0.0,0.0
8.2,0.0,48.32,0.0,0.0,0.0
8.4,0.0,48.32,0.0,0.0,0.0
8.6,0.0,48.32,0.0,0.0,0.0
8.8,0.0,48.32,0.0,0.0,0.0
9.0,0.0,48.32,0.0,0.0,0.0
9.2,0.0,48.32,0.0,0.0,0.0
9.4,0.0,48.32,0.0,0.0,0.0
9.6,0.0,48.32,0.0,0.0,0.0
9.8,0.0,48.32,0.0,0.0,0.0
10.0,0.0,48.32,0.0,0.0,0.0
10.2,0.0,48.32,0.0,0.0,0.0
10.4,0.0,48.32,0.0,0.0,0.0
10.6,0.0,48.32,0.0,0.0,0.0
10.8,0.0,48.32,0.0,0.0,0.0
11.0,0.0,48.32,0.0,0.0,0.0
11.2,0.0,48.32,0.0,0.0,0.0
11.4,0.0,48.32,0.0,0.0,0.0
11.6,0.0,48.32,0.0,0.0,0.0
11.8,0.0,48.32,0.0,0.0,0.0
12.0,0.0,48.32,0.0,0.0,0.0
12.2,0.0,48.32,0.0,0.0,0.0
12.4,0.0,48.32,0.0,0.0,0.0
12.6,0.0,48.32,0.0,0.0,0.0
12.8,0.0,48.32,0.0,0.0,0.0
13.0,0.0,48.32,0.0,0.0,0.0
13.2,0.0,48.32,0.0,0.0,0.0
13.4,0.0,48.32,0.0,0.0,0.0
13.6,0.0,48.32,0.0,0.0,0.0
13.8,0.0,48.32,0.0,0.0,0.0
14.0,0.0,48.32,0.0,0.0,0.0
14.2,0.0,48.32,0.0,0.0,0.0
14.4,0.0,48.32,0.0,0.0,0.0
14.6,0.0,48.32,0.0,0.0,0.0
14.8,0.0,48.32,0.0,0.0,0.0
15.0,0.0,48.32,0.0,0.0,0.0
15.2,0.0,48.32,0.0,0.0,0.0
15.4,0.0,48.32,0.0,0.0,0.0
15.6,0.0,48.32,0.0,0.0,0.0
15.8,0.0,48.32,0.0,0.0,0.0
16.0,0.0,48.32,0.0,0.0,0.0
16.2,0.0,48.32,0.0,0.0,0.0
16.4,0.0,48.32,0.0,0.0,0.0
16.6,0.0,48.32,0.0,0.0,0.0
16.8,0.0,48.32,0.0,0.0,0.0
17.0,0.0,48.32,0.0,0.0,0.0
17.2,0.0,48.32,0.0,0.0,0.0
17.4,0.0,48.32,0.0,0.0,0.0
17.6,0.0,48.32,0.0,0.0,0.0
17.8,0.0,48.32,0.0,0.0,0.0
18.0,0.0,48.32,0.0,0.0,0.0
18.2,0.0,48.32,0.0,0.0,0.0
18.4,0.0,48.32,0.0,0.0,0.0
18.6,0.0,48.32,0.0,0.0,0.0
18.8,0.0,48.32,0.0,0.0,0.0
19.0,0.0,48.32,0.0,0.0,0.0
19.2,0.0,48.32,0.0,0.0,0.0
19.4,0.0,48.32,0.0,0.0,0.0
19.6,0.0,48.32,0.0,0.0,0.0
19.8,0.0,48.32,0.0,0.0,0.0
20.0,0.0,48.32,0.0,0.0,0.0
20.2,0.0,48.32,0.0,0.0,0.0
20.4,0.0,48.32,0.0,0.0,0.0
20.6,0.0,48.32,0.0,0.0,0.0
20.8,0.0,48.32,0.0,0.0,0.0
21.0,0.0,48.32,0.0,0.0,0.0
21.2,0.0,48.32,0.0,0.0,0.0
21.4,0.0,48.32,0.0,0.0,0.0
21.6,0.0,48.32,0.0,0.0,0.0
21.8,0.0,48.32,0.0,0.0,0.0
22.0,0.0,48.32,0.0,0.0,0.0
22.2,0.0,48.32,0.0,0.0,0.0
22.4,0.0,48.32,0.0,0.0,0.0
22.6,0.0,48.32,0.0,0.0,0.0
22.8,0.0,48.32,0.0,0.0,0.0
23.0,0.0,48.32,0.0,0.0,0.0
23.2,0.0,48.32,0.0,0.0,0.0
23.4,0.0,48.32,0.0,0.0,0.0
23.6,0.0,48.32,0.0,0.0,0.0
23.8,0.0,48.32,0.0,0.0,0.0
24.0,0.0,48.32,0.0,0.0,0.0
24.2,0.0,48.32,0.0,0.0,0.0
24.4,0.0,48.32,0.0,0.0,0.0
24.6,0.0,48.32,0.0,0.0,0.0
24.8,0.0,48.32,0.0,0.0,0.0
25.0,0.0,48.32,0.0,0.0,0.0
25.2,0.0,48.32,0.0,0.0,0.0
25.4,0.0,48.32,0.0,0.0,0.0
25.6,0.0,48.32,0.0,0.0,0.0
25.8,0.0,48.32,0.0,0.0,0.0
26.0,0.0,48.32,0.0,0.0,0.0
26.2,0.0,48.32,0.0,0.0,0.0
26.4,0.0,48.32,0.0,0.0,0.0
26.6,0.0,48.32,0.0,0.0,0.0
26.8,0.0,48.32,0.0,0.0,0.0
27.0,0.0,48.32,0.0,0.0,0.0
27.2,0.0,48.32,0.0,0.0,0.0
27.4,0.0,48.32,0.0,0.0,0.0
27.59,0.0,48.32,0.0,0.0,0.0
27.8,0.0,48.32,0.0,0.0,0.0
28.0,0.0,48.32,0.0,0.0,0.0
28.2,0.0,48.32,0.0,0.0,0.0
28.4,0.0,48.32,0.0,0.0,0.0
28.6,0.0,48.32,0.0,0.0,0.0
28.8,0.0,48.32,0.0,0.0,0.0
29.0,0.0,48.32,0.0,0.0,0.0
29.2,0.0,48.32,0.0,0.0,0.0
29.4,0.0,47.71,0.0,0.0,0.0
29.6,0.0,47.71,0.0,0.0,0.0
29.8,0.0,47.71,0.0,0.0,0.0
30.0,0.0,47.1,0.0,0.0,0.0
30.2,0.0,47.1,0.0,0.0,0.0
30.4,0.0,47.1,0.0,0.0,0.0
30.6,0.0,46.82,0.0,0.0,0.0
30.8,0.0,46.82,0.0,0.0,0.0
31.0,0.0,46.82,0.0,0.0,0.0
31.2,0.0,47.55,0.0,0.0,0.0
31.4,0.0,47.55,0.0,0.0,0.0
31.6,0.0,47.55,0.0,0.0,0.0
31.8,0.0,47.64,0.0,0.0,0.0
32.0,0.0,47.64,0.0,0.0,0.0
32.2,0.0,47.64,0.0,0.0,0.0
32.4,0.0,48.16,0.0,0.0,0.0
32.6,0.0,48.16,0.0,0.0,0.0
32.8,0.0,49.3,0.0,0.0,0.0
33.0,0.0,49.3,0.0,0.0,0.0
33.2,0.0,49.3,0.0,0.0,0.0
33.39,0.0,48.9,0.0,0.0,0.0
33.6,0.0,48.9,0.0,0.0,0.0
33.8,0.0,48.9,0.0,0.0,0.0
34.0,0.0,48.26,0.0,0.0,0.0
34.2,0.0,48.26,0.0,0.0,0.0
34.4,0.0,48.26,0.0,0.0,0.0
34.6,0.0,47.06,0.0,0.0,0.0
34.8,0.0,47.06,0.0,0.0,0.0
34.99,0.0,47.06,0.0,0.0,0.0
35.19,0.0,47.62,0.0,0.0,0.0
35.39,0.0,47.62,0.0,0.0,0.0
35.6,0.0,47.62,0.0,0.0,0.0
35.8,0.0,47.61,0.0,0.0,0.0
36.0,0.0,47.61,0.0,0.0,0.0
36.19,0.0,47.61,0.0,0.0,0.0
36.39,0.0,47.45,0.0,0.0,0.0
36.59,0.0,47.45,0.0,0.0,0.0
36.8,0.0,47.45,0.0,0.0,0.0
36.99,0.0,47.56,0.0,0.0,0.0
37.19,0.0,47.56,0.0,0.0,0.0
37.39,0.0,47.56,0.0,0.0,0.0
37.6,0.0,47.68,0.0,0.0,0.0
37.79,0.0,47.68,0.0,0.0,0.0
37.99,0.0,47.68,0.0,0.0,0.0
38.19,0.0,49.33,0.0,0.0,0.0
38.39,0.0,49.33,0.0,0.0,0.0
38.6,0.0,49.33,0.0,0.0,0.0
38.79,0.0,48.65,0.0,0.0,0.0
38.99,0.0,48.65,0.0,0.0,0.0
39.2,0.0,46.99,0.0,0.0,0.0
39.39,0.0,46.99,0.0,0.0,0.0
39.59,0.0,46.99,0.0,0.0,0.0
39.79,0.0,47.1,0.0,0.0,0.0
39.99,0.0,47.1,0.0,0.0,0.0
40.19,0.0,47.1,0.0,0.0,0.0
40.39,0.0,47.71,0.0,0.0,0.0
40.59,0.0,47.71,0.0,0.0,0.0
40.8,0.0,47.71,0.0,0.0,0.0
40.99,0.0,47.74,0.0,0.0,0.0
41.19,0.0,47.74,0.0,0.0,0.0
41.4,0.0,47.74,0.0,0.0,0.0
41.59,0.0,49.4,0.0,0.0,0.0
41.79,0.0,49.4,0.0,0.0,0.0
41.99,0.0,49.4,0.0,0.0,0.0
42.19,0.0,47.81,0.0,0.0,0.0
42.39,0.0,47.81,0.0,0.0,0.0
42.59,0.0,47.81,0.0,0.0,0.0
42.79,0.0,46.89,0.0,0.0,0.0
42.99,0.0,46.89,0.0,0.0,0.0
43.19,0.0,46.89,0.0,0.0,0.0
43.39,0.0,48.23,0.0,0.0,0.0
43.59,0.0,48.23,0.0,0.0,0.0
43.79,0.0,48.23,0.0,0.0,0.0
43.99,0.0,49.0,0.0,0.0,0.0
44.19,0.0,49.0,0.0,0.0,0.0
44.39,0.0,49.0,0.0,0.0,0.0
44.59,0.0,47.68,0.0,0.0,0.0
44.79,0.0,47.68,0.0,0.0,0.0
44.99,0.0,47.68,0.0,0.0,0.0
45.19,0.0,47.04,0.0,0.0,0.0
45.39,0.0,47.04,0.0,0.0,0.0
45.59,0.0,47.63,0.0,0.0,0.0
45.79,0.0,47.63,0.0,0.0,0.0
45.99,0.0,47.63,0.0,0.0,0.0
46.19,0.0,47.84,0.0,0.0,0.0
46.39,0.0,47.84,0.0,0.0,0.0
46.59,0.0,47.84,0.0,0.0,0.0
46.79,0.0,49.13,0.0,0.0,0.0
46.99,0.0,49.13,0.0,0.0,0.0
47.19,0.0,49.13,0.0,0.0,0.0
47.39,0.0,47.33,0.0,0.0,0.0
47.59,0.0,47.33,0.0,0.0,0.0
47.79,0.0,47.33,0.0,0.0,0.0
47.99,0.0,48.62,0.0,0.0,0.0
48.19,0.0,48.62,0.0,0.0,0.0
48.39,0.0,48.62,0.0,0.0,0.0
48.59,0.0,47.71,0.0,0.0,0.0
48.79,0.0,47.71,0.0,0.0,0.0
48.99,0.0,47.71,0.0,0.0,0.0
49.19,0.0,48.16,0.0,0.0,0.0
49.39,0.0,48.16,0.0,0.0,0.0
49.59,0.0,48.16,0.0,0.0,0.0
49.79,0.0,48.12,0.0,0.0,0.0
49.99,0.0,48.12,0.0,0.0,0.0
50.19,0.0,48.12,0.0,0.0,0.0
50.39,0.0,48.12,0.0,0.0,0.0
50.59,0.0,48.12,0.0,0.0,0.0
50.79,0.0,48.12,0.0,0.0,0.0
50.99,0.0,46.93,0.0,0.0,0.0
51.19,0.0,46.93,0.0,0.0,0.0
51.39,0.0,46.93,0.0,0.0,0.0
51.59,0.0,47.42,0.0,0.0,0.0
51.79,0.0,47.42,0.0,0.0,0.0
51.99,0.0,47.74,0.0,0.0,0.0
52.19,0.0,47.74,0.0,0.0,0.0
52.39,0.0,47.74,0.0,0.0,0.0
52.59,0.0,48.91,0.0,0.0,0.0
52.79,0.0,48.91,0.0,0.0,0.0
52.99,0.0,48.91,0.0,0.0,0.0
53.19,0.0,48.4,0.0,0.0,0.0
53.39,0.0,48.4,0.0,0.0,0.0
53.59,0.0,48.4,0.0,0.0,0.0
53.79,0.0,48.17,0.0,0.0,0.0
53.99,0.0,48.17,0.0,0.0,0.0
54.19,0.0,48.17,0.0,0.0,0.0
54.39,0.0,48.16,0.0,0.0,0.0
54.59,0.0,48.16,0.0,0.0,0.0
54.79,0.0,48.16,0.0,0.0,0.0
54.99,0.0,48.17,0.0,0.0,0.0
55.2,0.0,48.17,0.0,0.0,0.0
55.39,0.0,48.17,0.0,0.0,0.0
55.59,0.0,48.17,0.0,0.0,0.0
55.79,0.0,48.17,0.0,0.0,0.0
55.99,0.0,48.17,0.0,0.0,0.0
56.19,0.0,48.17,0.0,0.0,0.0
56.39,0.0,48.17,0.0,0.0,0.0
56.59,0.0,48.17,0.0,0.0,0.0
56.79,0.0,48.17,0.0,0.0,0.0
56.99,0.0,48.17,0.0,0.0,0.0
57.19,0.0,48.17,0.0,0.0,0.0
57.39,0.0,48.17,0.0,0.0,0.0
57.59,0.0,48.17,0.0,0.0,0.0
57.79,0.0,48.17,0.0,0.0,0.0
57.99,0.0,48.09,0.0,0.0,0.0
58.19,0.0,48.09,0.0,0.0,0.0
58.39,0.0,48.17,0.0,0.0,0.0
58.59,0.0,48.17,0.0,0.0,0.0
58.79,0.0,48.17,0.0,0.0,0.0
58.99,0.0,48.09,0.0,0.0,0.0
59.19,0.0,48.09,0.0,0.0,0.0
59.39,0.0,48.09,0.0,0.0,0.0
59.59,0.0,46.82,0.0,0.0,0.0
59.79,0.0,46.82,0.0,0.0,0.0
59.99,0.0,46.82,0.0,0.0,0.0
60.19,0.0,47.27,0.0,0.0,0.0
60.39,0.0,47.27,0.0,0.0,0.0
60.59,0.0,47.27,0.0,0.0,0.0
60.79,0.0,47.62,0.0,0.0,0.0
60.99,0.0,47.62,0.0,0.0,0.0
61.19,0.0,47.62,0.0,0.0,0.0
61.39,0.0,49.22,0.0,0.0,0.0
61.59,0.0,49.22,0.0,0.0,0.0
61.79,0.0,49.22,0.0,0.0,0.0
61.99,0.0,48.35,0.0,0.0,0.0
62.19,0.0,48.35,0.0,0.0,0.0
62.39,0.0,48.35,0.0,0.0,0.0
62.59,0.0,47.99,0.0,0.0,0.0
62.79,0.0,47.99,0.0,0.0,0.0
62.99,0.0,47.99,0.0,0.0,0.0
63.19,0.0,47.44,0.0,0.0,0.0
63.39,0.0,47.44,0.0,0.0,0.0
63.59,0.0,47.44,0.0,0.0,0.0
63.79,0.0,48.39,0.0,0.0,0.0
63.99,0.0,48.39,0.0,0.0,0.0
64.19,0.0,48.39,0.0,0.0,0.0
64.39,0.0,47.84,0.0,0.0,0.0
64.59,0.0,47.84,0.0,0.0,0.0
64.79,0.0,47.52,0.0,0.0,0.0
64.99,0.0,47.52,0.0,0.0,0.0
65.19,0.0,47.52,0.0,0.0,0.0
65.39,0.0,47.89,0.0,0.0,0.0
65.59,0.0,47.89,0.0,0.0,0.0
65.79,0.0,47.89,0.0,0.0,0.0
65.99,0.0,48.27,0.0,0.0,0.0
66.19,0.0,48.27,0.0,0.0,0.0
66.39,0.0,48.27,0.0,0.0,0.0
66.59,0.0,47.95,0.0,0.0,0.0
66.79,0.0,47.95,0.0,0.0,0.0
66.99,0.0,47.95,0.0,0.0,0.0
67.19,0.0,47.62,0.0,0.0,0.0
67.39,0.0,47.62,0.0,0.0,0.0
67.59,0.0,47.62,0.0,0.0,0.0
67.79,0.0,47.86,0.0,0.0,0.0
67.99,0.0,47.86,0.0,0.0,0.0
68.19,0.0,47.86,0.0,0.0,0.0
68.39,0.0,48.66,0.0,0.0,0.0
68.59,0.0,48.66,0.0,0.0,0.0
68.79,0.0,48.66,0.0,0.0,0.0
68.99,0.0,48.18,0.0,0.0,0.0
69.19,0.0,48.18,0.0,0.0,0.0
69.39,0.0,48.18,0.0,0.0,0.0
69.59,0.0,48.17,0.0,0.0,0.0
69.79,0.0,48.17,0.0,0.0,0.0
69.99,0.0,48.17,0.0,0.0,0.0
70.19,0.0,48.17,0.0,0.0,0.0
70.39,0.0,48.17,0.0,0.0,0.0
70.59,0.0,48.17,0.0,0.0,0.0
70.79,0.0,48.17,0.0,0.0,0.0
70.99,0.0,48.17,0.0,0.0,0.0
71.19,0.0,48.17,0.0,0.0,0.0
71.39,0.0,48.17,0.0,0.0,0.0
71.59,0.0,48.17,0.0,0.0,0.0
71.79,0.0,48.17,0.0,0.0,0.0
71.99,0.0,48.17,0.0,0.0,0.0
72.19,0.0,48.17,0.0,0.0,0.0
72.39,0.0,48.18,0.0,0.0,0.0
72.59,0.0,48.18,0.0,0.0,0.0
72.79,0.0,48.18,0.0,0.0,0.0
72.99,0.0,48.18,0.0,0.0,0.0
73.19,0.0,48.18,0.0,0.0,0.0
73.39,0.0,48.18,0.0,0.0,0.0
73.59,0.0,48.2,0.0,0.0,0.0
73.79,0.0,48.2,0.0,0.0,0.0
73.99,0.0,48.2,0.0,0.0,0.0
74.19,0.0,48.22,0.0,0.0,0.0
74.39,0.0,48.22,0.0,0.0,0.0
74.59,0.0,48.22,0.0,0.0,0.0
74.79,0.0,48.25,0.0,0.0,0.0
74.99,0.0,48.25,0.0,0.0,0.0
75.19,0.0,48.25,0.0,0.0,0.0
75.39,0.0,48.27,0.0,0.0,0.0
75.59,0.0,48.27,0.0,0.0,0.0
75.79,0.0,48.27,0.0,0.0,0.0
75.99,0.0,48.29,0.0,0.0,0.0
76.19,0.0,48.29,0.0,0.0,0.0
76.39,0.0,48.29,0.0,0.0,0.0
76.59,0.0,48.3,0.0,0.0,0.0
76.79,0.0,48.3,0.0,0.0,0.0
76.99,0.0,48.3,0.0,0.0,0.0
77.19,0.0,48.31,0.0,0.0,0.0
77.39,0.0,48.31,0.0,0.0,0.0
77.59,0.0,48.31,0.0,0.0,0.0
77.79,0.0,48.31,0.0,0.0,0.0
77.99,0.0,48.31,0.0,0.0,0.0
78.19,0.0,48.31,0.0,0.0,0.0
78.39,0.0,48.31,0.0,0.0,0.0
78.59,0.0,48.31,0.0,0.0,0.0
78.79,0.0,48.31,0.0,0.0,0.0
78.99,0.0,48.31,0.0,0.0,0.0
79.19,0.0,48.31,0.0,0.0,0.0
79.39,0.0,48.31,0.0,0.0,0.0
79.59,0.0,48.31,0.0,0.0,0.0
79.79,0.0,48.31,0.0,0.0,0.0
79.99,0.0,48.31,0.0,0.0,0.0
80.19,0.0,48.31,0.0,0.0,0.0
80.39,0.0,48.31,0.0,0.0,0.0
80.59,0.0,48.31,0.0,0.0,0.0
80.79,0.0,48.31,0.0,0.0,0.0
80.99,0.0,48.31,0.0,0.0,0.0
81.19,0.0,48.31,0.0,0.0,0.0
81.39,0.0,48.31,0.0,0.0,0.0
81.59,0.0,48.31,0.0,0.0,0.0
81.79,0.0,48.31,0.0,0.0,0.0
81.99,0.0,48.31,0.0,0.0,0.0
82.19,0.0,48.31,0.0,0.0,0.0
82.39,0.0,48.31,0.0,0.0,0.0
82.59,0.0,48.31,0.0,0.0,0.0
82.79,0.0,48.31,0.0,0.0,0.0
82.99,0.0,48.31,0.0,0.0,0.0
83.19,0.0,48.31,0.0,0.0,0.0
83.39,0.0,48.31,0.0,0.0,0.0
83.59,0.0,48.32,0.0,0.0,0.0
83.79,0.0,48.32,0.0,0.0,0.0
83.99,0.0,48.31,0.0,0.0,0.0
84.19,0.0,48.31,0.0,0.0,0.0
84.39,0.0,48.31,0.0,0.0,0.0
84.59,0.0,48.32,0.0,0.0,0.0
84.79,0.0,48.32,0.0,0.0,0.0
84.99,0.0,48.32,0.0,0.0,0.0
85.19,0.0,48.12,0.0,0.0,0.0
85.39,0.0,48.12,0.0,0.0,0.0
85.59,0.0,48.12,0.0,0.0,0.0
85.79,0.0,46.85,0.0,0.0,0.0
85.99,0.0,46.85,0.0,0.0,0.0
86.19,0.0,46.85,0.0,0.0,0.0
86.39,0.0,47.78,0.0,0.0,0.0
86.59,0.0,47.78,0.0,0.0,0.0
86.79,0.0,47.78,0.0,0.0,0.0
86.99,0.0,48.17,0.0,0.0,0.0
87.19,0.0,48.17,0.0,0.0,0.0
87.39,0.0,48.17,0.0,0.0,0.0
87.59,0.0,48.93,0.0,0.0,0.0
87.79,0.0,48.93,0.0,0.0,0.0
87.99,0.0,48.93,0.0,0.0,0.0
88.19,0.0,46.69,0.0,0.0,0.0
88.39,0.0,46.69,0.0,0.0,0.0
88.59,0.0,46.69,0.0,0.0,0.0
88.79,0.0,48.78,0.0,0.0,0.0
88.99,0.0,48.78,0.0,0.0,0.0
89.19,0.0,48.78,0.0,0.0,0.0
89.39,0.0,47.32,0.0,0.0,0.0
89.59,0.0,47.32,0.0,0.0,0.0
89.79,0.0,47.32,0.0,0.0,0.0
89.99,0.0,48.76,0.0,0.0,0.0
90.19,0.0,48.76,0.0,0.0,0.0
90.39,0.0,48.19,0.0,0.0,0.0
90.59,0.0,48.19,0.0,0.0,0.0
90.79,0.0,48.19,0.0,0.0,0.0
90.99,0.0,48.22,0.0,0.0,0.0
91.19,0.0,48.22,0.0,0.0,0.0
91.39,0.0,48.22,0.0,0.0,0.0
91.59,0.0,48.17,0.0,0.0,0.0
91.79,0.0,48.17,0.0,0.0,0.0
91.99,0.0,48.17,0.0,0.0,0.0
92.19,0.0,48.17,0.0,0.0,0.0
92.39,0.0,48.17,0.0,0.0,0.0
92.59,0.0,48.17,0.0,0.0,0.0
92.79,0.0,48.17,0.0,0.0,0.0
92.99,0.0,48.17,0.0,0.0,0.0
93.19,0.0,48.17,0.0,0.0,0.0
93.39,0.0,48.18,0.0,0.0,0.0
93.59,0.0,48.18,0.0,0.0,0.0
93.79,0.0,48.18,0.0,0.0,0.0
93.99,0.0,48.21,0.0,0.0,0.0
94.19,0.0,48.21,0.0,0.0,0.0
94.39,0.0,48.21,0.0,0.0,0.0
94.59,0.0,48.24,0.0,0.0,0.0
94.79,0.0,48.24,0.0,0.0,0.0
94.99,0.0,48.24,0.0,0.0,0.0
95.19,0.0,48.27,0.0,0.0,0.0
95.39,0.0,48.27,0.0,0.0,0.0
95.59,0.0,48.27,0.0,0.0,0.0
95.79,0.0,48.29,0.0,0.0,0.0
95.99,0.0,48.29,0.0,0.0,0.0
96.19,0.0,48.29,0.0,0.0,0.0
96.39,0.0,48.31,0.0,0.0,0.0
96.59,0.0,48.31,0.0,0.0,0.0
96.79,0.0,48.31,0.0,0.0,0.0
96.99,0.0,48.31,0.0,0.0,0.0
97.19,0.0,48.31,0.0,0.0,0.0
97.39,0.0,48.31,0.0,0.0,0.0
97.59,0.0,48.31,0.0,0.0,0.0
97.79,0.0,48.31,0.0,0.0,0.0
97.99,0.0,48.31,0.0,0.0,0.0
98.19,0.0,48.31,0.0,0.0,0.0
98.39,0.0,48.31,0.0,0.0,0.0
98.59,0.0,48.31,0.0,0.0,0.0
98.79,0.0,48.31,0.0,0.0,0.0
98.99,0.0,48.31,0.0,0.0,0.0
99.19,0.0,48.31,0.0,0.0,0.0
99.39,0.0,48.31,0.0,0.0,0.0
99.59,0.0,48.31,0.0,0.0,0.0
99.79,0.0,48.31,0.0,0.0,0.0
99.99,0.0,48.31,0.0,0.0,0.0
100.19,0.0,48.31,0.0,0.0,0.0
100.39,0.0,48.31,0.0,0.0,0.0
100.59,0.0,48.31,0.0,0.0,0.0
100.79,0.0,48.31,0.0,0.0,0.0
100.99,0.0,48.31,0.0,0.0,0.0
101.19,0.0,48.31,0.0,0.0,0.0
101.39,0.0,48.31,0.0,0.0,0.0
101.59,0.0,48.31,0.0,0.0,0.0
